area,file_name,minister,ministry
,20150518_20150618_S1_S100_soalan-9.txt,,menteri kesihatan
,20151125__DR_JawabLisan_soalan-42.txt,,menteri kemajuan luar bandar dan wilayah
,20150608_Parliamentary_Reply_soalan-33.txt,,menteri pertanian dan industri asas tani
,Mar-Apr_2015_Soalan_Bertulis_301-400_soalan-334.txt,,perdana menteri
kota melaka,20140610_soalan-131.txt,Sim Tong Him,menteri kewangan
,20140317_21-50_soalan-23.txt,,menteri kesihatan
sandakan,20150527_Parliamentary_Reply_soalan-85.txt,Wong Tien Fatt,menteri dalam negeri
kuala langat,Oct_Bertulis_Soalan_501-569_soalan-526.txt,Abdullah Sani Abdul Hamid,menteri sumber manusia
tanjong malim,Oct_Bertulis_Soalan_1-100_soalan-67.txt,Ong Ka Chuan,perdana menteri
machang 1,201406_SoalanBertulis_soalan-30.txt,Ahmad Jazlan Bin Yaakub,menteri pelancongan dan kebudayaan
shah alam,20151201__DR_JawabLisan_soalan-37.txt,Khalid Abdul Samad,menteri dalam negeri
,20151026_DR_JawabLisan_soalan-57.txt,,
,20150611_Parliamentary_Reply_soalan-55.txt,,
,20150401_Parliamentary_Reply_soalan-68.txt,,perdana menteri
kampar,Mar-Apr_2015_Soalan_Bertulis_201-300_soalan-262.txt,Ko Chung Sen,menteri kewangan
sungai petani,20150331_Parliamentary_Reply_soalan-60.txt,Johari Bin Abdullah,menteri kewangan
bukit gantang,20140609_soalan-28.txt,,menteri pendidikan
jelebu,20150518_20150618_S1_S100_soalan-96.txt,Zainudin Ismail,menteri kewangan
,Mar-Apr_2015_Soalan_Bertulis_501-578_soalan-530.txt,,menteri sumber manusia
,20150310_Parliamentary_Reply_soalan-33.txt,Takiyuddin Bin Hassan,menteri pendidikan
pengkalan chepa 1,20150401_Parliamentary_Reply_soalan-22.txt,,menteri dalam negeri
batu sapi,20150402_Parliamentary_Reply_soalan-67.txt,Tsen Thau Lin,menteri kewangan
batu,20140610_soalan-130.txt,Chua Tian Chang,menteri wilayah persekutuan
bukit katil,20140313_31-60_soalan-43.txt,Shamsul Iskandar Mohd Akin,menteri kewangan
kulim bandar baharu,20151029__DR_JawabLisan_soalan-42.txt,,menteri kewangan
libaran,Oct_Bertulis_Soalan_101-200_soalan-165.txt,Juslie Ajirol,menteri kewangan
pasir gudang,20140405_26-50_soalan-49.txt,Normala Abdul Samad,menteri perdagangan dalam negeri koperasi dan kepenggunaan
,20140319_51-70_soalan-60.txt,,menteri tenaga teknologi hijau dan air
,20140618_soalan-81.txt,,menteri kesihatan
kulai,20150527_Parliamentary_Reply_soalan-82.txt,Teo Nie Ching,perdana menteri
batu pahat,20150518_20150618_S501_S540_soalan-527.txt,Mohd Idris Jusi,perdana menteri
,Mar-Apr_2015_SoalanBertulis_101-200_soalan-173.txt,,menteri pendidikan
,20141117_Parliamentary_Reply_soalan-48.txt,,menteri pelancongan dan kebudayaan
kota raja,Oct_Bertulis_Soalan_401-500_soalan-438.txt,Siti Mariah Binti Mahmud,menteri pembangunan wanita keluarga dan masyarakat
lpoh barat,20150318_Parliamentary_Reply_soalan-3.txt,M. Kulasegaran A/L V. Murugeson,perdana menteri
dungun,20151126__DR_JawabLisan_soalan-24.txt,Wan Hassan Mohd Ramli,menteri sumber asli dan alam sekitar
sungai petani,20150518_20150618_S401_S500_soalan-437.txt,Johari Bin Abdullah,perdana menteri
,20150518_20150618_S1_S100_soalan-5.txt,,menteri pertanian dan industri asas tani
bukit gantang,20141111_Parliamentary_Reply_soalan-20.txt,,menteri kewangan
,20140318_61-79_soalan-0-intro.txt,,menteri kesejahteraan bandar perumahan dan kerajaan tempatan
bachok,20141127_Parliamentary_Reply_soalan-26.txt,Ahmad Marzuk Bin Shaary,perdana menteri
,20150618_ParliamentaryReply_soalan-44.txt,,
batu kawan,20150311_Parliamentary_Reply_soalan-59.txt,Kasthuriraani Patto,menteri pendidikan
,20151105__DR_JawabLisan_soalan-22.txt,,
stampin,20140402_31-53_soalan-43.txt,Julian Tan Kok Ping,menteri kewangan
stampin,Soalan_07-56_Oct_17_soalan-43.txt,Julian Tan Kok Ping,menteri dalam negeri
,20140617_soalan-6_1457586160_1457586160.txt,,menteri pertanian dan industri asas tani
mas gading,Oct_Bertulis_Soalan_101-200_soalan-173.txt,Nogeh Anak Gumbek,menteri dalam negeri
jelutong 1,20141104_Parliamentary_Reply_soalan-28.txt,Ooi Chuan Aun,perdana menteri
jerantut,20150518_20150618_S1_S100_soalan-74.txt,Ahmad Nazlan Bin Idris,perdana menteri
batu kawan,Mar-Apr_2015_Soalan_Bertulis_201-300_soalan-216.txt,Kasthuriraani Patto,perdana menteri
lanang,20140610_soalan-14.txt,Alice Lau Kiong Yieng,menteri kerja raya
,Mar-Apr_2015_SoalanBertulis_101-200_soalan-144.txt,,menteri sumber manusia
jelutong,Oct_Bertulis_Soalan_201-300_soalan-224.txt,Ooi Chuan Aun,menteri dalam negeri
,20140616_soalan-5.txt,,menteri pertanian dan industri asas tani
hulu rajang 1,20140612_soalan-19.txt,Wilson Ugak Kumbong,menteri pendidikan
